sample_id,scene_type,subscene_type,input_path,input_data,audio_info,language,metadata,scenario,subscenario,capability_chain,task_types,reference_annotation,reference_text,system_output,system_output_text,cer,cer_status,source_id,source_sha256,result_id
SYN-0029,车载/语音助手交互,设备控制,inputs/SYN-0029.json,"{""type"":""synthetic_audio_fixture"",""path"":""inputs/SYN-0029.json"",""source_id"":""synthetic://SYN-0029.wav"",""data_classification"":""synthetic_engineering_validation"",""subscene_type"":""设备控制"",""fixture_variant"":""device_control"",""dialogue_turns"":""-""}","{""duration_ms"":1300,""sample_rate"":16000,""channels"":1,""format"":""wav"",""language"":""普通话"",""speaker_count"":1,""signal_conditions"":[""synthetic"",""clean""]}",普通话,"{""synthetic"":true,""data_classification"":""synthetic_engineering_validation"",""validation_scope"":""synthetic_engineering_validation"",""capability_chain"":""C03"",""source_sha256"":""99d95733ee4c6ddaa283e8989ba05fe9808186dc52d7a944607c39fc8b17b394"",""fixture_variant"":""device_control""}",车载/语音助手交互,设备控制,C03,语音识别|语义理解|对话生成,"{""transcript"":""把客厅窗帘拉开"",""translation"":""-"",""intent"":""设备控制"",""slots"":{""设备"":""窗帘"",""位置"":""客厅""},""expected_action"":""open"",""expected_reply"":""已拉开客厅窗帘"",""translation_context"":""-"",""annotation_version"":""fixture-2.0""}",把客厅窗帘拉开,"{""transcript"":""把客厅窗帘拉开"",""translation"":""-"",""intent"":""设备控制"",""slots"":{""设备"":""窗帘"",""位置"":""客厅""},""action"":""open"",""reply"":""已拉开客厅窗帘"",""model_version"":""deterministic-fixture-2.0"",""run_id"":""RUN-SYN-0029""}",把客厅窗帘拉开,0.000000,通过,synthetic://SYN-0029.wav,99d95733ee4c6ddaa283e8989ba05fe9808186dc52d7a944607c39fc8b17b394,SYN-0029
SYN-0030,车载/语音助手交互,信息查询/多轮任务,inputs/SYN-0030.json,"{""type"":""synthetic_audio_fixture"",""path"":""inputs/SYN-0030.json"",""source_id"":""synthetic://SYN-0030.wav"",""data_classification"":""synthetic_engineering_validation"",""subscene_type"":""信息查询/多轮任务"",""fixture_variant"":""multi_turn_query"",""dialogue_turns"":[{""轮次"":1,""角色"":""用户"",""内容"":""我想了解杭州的安排。""},{""轮次"":2,""角色"":""系统"",""内容"":""好的，请问你想查询什么？""},{""轮次"":3,""角色"":""用户"",""内容"":""请查询下周一杭州的日程信息""}]}","{""duration_ms"":1400,""sample_rate"":16000,""channels"":1,""format"":""wav"",""language"":""普通话"",""speaker_count"":1,""signal_conditions"":[""synthetic"",""clean""]}",普通话,"{""synthetic"":true,""data_classification"":""synthetic_engineering_validation"",""validation_scope"":""synthetic_engineering_validation"",""capability_chain"":""C03"",""source_sha256"":""4877a218921f29e25af2ade5e4165e5c0b4f5df186178ab70fd264fab227781f"",""fixture_variant"":""multi_turn_query""}",车载/语音助手交互,信息查询/多轮任务,C03,语音识别|语义理解|对话生成,"{""transcript"":""请查询下周一杭州的日程信息"",""translation"":""-"",""intent"":""信息查询"",""slots"":{""地点"":""杭州"",""日期"":""下周一""},""expected_action"":""query_calendar"",""expected_reply"":""杭州下周一有客户会议"",""translation_context"":""-"",""annotation_version"":""fixture-2.0""}",请查询下周一杭州的日程信息,"{""transcript"":""请查询下周一杭州的日程信"",""translation"":""-"",""intent"":""信息查询"",""slots"":{""地点"":""杭州"",""日期"":""下周一""},""action"":""query_calendar"",""reply"":""杭州下周一有客户会议"",""model_version"":""deterministic-fixture-2.0"",""run_id"":""RUN-SYN-0030""}",请查询下周一杭州的日程信,0.076923,通过,synthetic://SYN-0030.wav,4877a218921f29e25af2ade5e4165e5c0b4f5df186178ab70fd264fab227781f,SYN-0030
SYN-0031,短语音/录音转写,普通话口述,inputs/SYN-0031.json,"{""type"":""synthetic_audio_fixture"",""path"":""inputs/SYN-0031.json"",""source_id"":""synthetic://SYN-0031.wav"",""data_classification"":""synthetic_engineering_validation"",""subscene_type"":""普通话口述"",""fixture_variant"":""clean_mandarin"",""dialogue_turns"":""-""}","{""duration_ms"":1500,""sample_rate"":16000,""channels"":1,""format"":""wav"",""language"":""普通话"",""speaker_count"":1,""signal_conditions"":[""synthetic"",""clean""]}",普通话,"{""synthetic"":true,""data_classification"":""synthetic_engineering_validation"",""validation_scope"":""synthetic_engineering_validation"",""capability_chain"":""C01"",""source_sha256"":""f245c5bb1e0350f9053b290bd5dde05571f8b3a9269c9c74a7fbcd3eb3995231"",""fixture_variant"":""clean_mandarin""}",短语音/录音转写,普通话口述,C01,语音识别,"{""transcript"":""请把客厅的窗帘关上"",""translation"":""-"",""intent"":""-"",""slots"":""-"",""expected_action"":""-"",""expected_reply"":""-"",""translation_context"":""-"",""annotation_version"":""fixture-2.0""}",请把客厅的窗帘关上,"{""transcript"":""请把客厅的窗帘"",""translation"":""-"",""intent"":""-"",""slots"":""-"",""action"":""-"",""reply"":""-"",""model_version"":""deterministic-fixture-2.0"",""run_id"":""RUN-SYN-0031""}",请把客厅的窗帘,0.222222,失败,synthetic://SYN-0031.wav,f245c5bb1e0350f9053b290bd5dde05571f8b3a9269c9c74a7fbcd3eb3995231,SYN-0031
SYN-0032,短语音/录音转写,噪声/数字英文混合,inputs/SYN-0032.json,"{""type"":""synthetic_audio_fixture"",""path"":""inputs/SYN-0032.json"",""source_id"":""synthetic://SYN-0032.wav"",""data_classification"":""synthetic_engineering_validation"",""subscene_type"":""噪声/数字英文混合"",""fixture_variant"":""noise_mixed_alphanumeric"",""dialogue_turns"":""-""}","{""duration_ms"":1600,""sample_rate"":16000,""channels"":1,""format"":""wav"",""language"":""普通话"",""speaker_count"":1,""signal_conditions"":[""synthetic"",""noise"",""mixed_alphanumeric""]}",普通话,"{""synthetic"":true,""data_classification"":""synthetic_engineering_validation"",""validation_scope"":""synthetic_engineering_validation"",""capability_chain"":""C01"",""source_sha256"":""184f02b14d79a685f720565c0b0b64706c8cfc2d1cefd6035aad86d8a4e55c41"",""fixture_variant"":""noise_mixed_alphanumeric""}",短语音/录音转写,噪声/数字英文混合,C01,语音识别,"{""transcript"":""把温度从 23 度调到 25 度"",""translation"":""-"",""intent"":""-"",""slots"":""-"",""expected_action"":""-"",""expected_reply"":""-"",""translation_context"":""-"",""annotation_version"":""fixture-2.0""}",把温度从 23 度调到 25 度,"{""transcript"":""把温"",""translation"":""-"",""intent"":""-"",""slots"":""-"",""action"":""-"",""reply"":""-"",""model_version"":""deterministic-fixture-2.0"",""run_id"":""RUN-SYN-0032""}",把温,0.833333,失败,synthetic://SYN-0032.wav,184f02b14d79a685f720565c0b0b64706c8cfc2d1cefd6035aad86d8a4e55c41,SYN-0032
SYN-0033,会议/办公语音翻译,短句语翻,inputs/SYN-0033.json,"{""type"":""synthetic_audio_fixture"",""path"":""inputs/SYN-0033.json"",""source_id"":""synthetic://SYN-0033.wav"",""data_classification"":""synthetic_engineering_validation"",""subscene_type"":""短句语翻"",""fixture_variant"":""short_translation"",""dialogue_turns"":""-""}","{""duration_ms"":1700,""sample_rate"":16000,""channels"":1,""format"":""wav"",""language"":""普通话"",""speaker_count"":1,""signal_conditions"":[""synthetic"",""clean""]}",普通话,"{""synthetic"":true,""data_classification"":""synthetic_engineering_validation"",""validation_scope"":""synthetic_engineering_validation"",""capability_chain"":""C02"",""source_sha256"":""cb9913168e75920338b9b37513d732d0fcf8e7d6a4ae111bd1baf9442b78919f"",""fixture_variant"":""short_translation""}",会议/办公语音翻译,短句语翻,C02,语音识别|机器翻译,"{""transcript"":""提醒我下午开会"",""translation"":""Remind me about the meeting this afternoon"",""intent"":""-"",""slots"":""-"",""expected_action"":""-"",""expected_reply"":""-"",""translation_context"":""-"",""annotation_version"":""fixture-2.0""}",提醒我下午开会,"{""transcript"":""提醒我下午开会"",""translation"":""Remind me about the meeting this afternoon"",""intent"":""-"",""slots"":""-"",""action"":""-"",""reply"":""-"",""model_version"":""deterministic-fixture-2.0"",""run_id"":""RUN-SYN-0033""}",提醒我下午开会,0.000000,通过,synthetic://SYN-0033.wav,cb9913168e75920338b9b37513d732d0fcf8e7d6a4ae111bd1baf9442b78919f,SYN-0033
SYN-0034,会议/办公语音翻译,长句/上下文翻译,inputs/SYN-0034.json,"{""type"":""synthetic_audio_fixture"",""path"":""inputs/SYN-0034.json"",""source_id"":""synthetic://SYN-0034.wav"",""data_classification"":""synthetic_engineering_validation"",""subscene_type"":""长句/上下文翻译"",""fixture_variant"":""long_context_translation"",""dialogue_turns"":[{""轮次"":1,""角色"":""主持人"",""内容"":""上下文：帮助文档更新""},{""轮次"":2,""角色"":""用户"",""内容"":""请根据产品经理的补充说明更新帮助文档，同时保留旧版截图，方便客服比较两个版本的差异。""}]}","{""duration_ms"":1800,""sample_rate"":16000,""channels"":1,""format"":""wav"",""language"":""普通话"",""speaker_count"":1,""signal_conditions"":[""synthetic"",""clean""]}",普通话,"{""synthetic"":true,""data_classification"":""synthetic_engineering_validation"",""validation_scope"":""synthetic_engineering_validation"",""capability_chain"":""C02"",""source_sha256"":""579d97a71645ec85f87f8ac1ad130a361b7fd764722c363261aaf38ffba49bc3"",""fixture_variant"":""long_context_translation""}",会议/办公语音翻译,长句/上下文翻译,C02,语音识别|机器翻译,"{""transcript"":""请根据产品经理的补充说明更新帮助文档，同时保留旧版截图，方便客服比较两个版本的差异。"",""translation"":""Update the help document according to the product manager's additional notes, while keeping the old screenshots so customer service can compare the two versions."",""intent"":""-"",""slots"":""-"",""expected_action"":""-"",""expected_reply"":""-"",""translation_context"":""帮助文档更新"",""annotation_version"":""fixture-2.0""}",请根据产品经理的补充说明更新帮助文档，同时保留旧版截图，方便客服比较两个版本的差异。,"{""transcript"":""请根据产品经理的补充说明更新帮助文档，同时保留旧版截图，方便客服比较两个版本的差异"",""translation"":""Update the help document according to the product manager's additional notes, while keeping the old screenshots so customer service can compare the two versions."",""intent"":""-"",""slots"":""-"",""action"":""-"",""reply"":""-"",""model_version"":""deterministic-fixture-2.0"",""run_id"":""RUN-SYN-0034""}",请根据产品经理的补充说明更新帮助文档，同时保留旧版截图，方便客服比较两个版本的差异,0.000000,通过,synthetic://SYN-0034.wav,579d97a71645ec85f87f8ac1ad130a361b7fd764722c363261aaf38ffba49bc3,SYN-0034
SYN-0035,车载/语音助手交互,设备控制,inputs/SYN-0035.json,"{""type"":""synthetic_audio_fixture"",""path"":""inputs/SYN-0035.json"",""source_id"":""synthetic://SYN-0035.wav"",""data_classification"":""synthetic_engineering_validation"",""subscene_type"":""设备控制"",""fixture_variant"":""device_control"",""dialogue_turns"":""-""}","{""duration_ms"":1900,""sample_rate"":16000,""channels"":1,""format"":""wav"",""language"":""普通话"",""speaker_count"":1,""signal_conditions"":[""synthetic"",""clean""]}",普通话,"{""synthetic"":true,""data_classification"":""synthetic_engineering_validation"",""validation_scope"":""synthetic_engineering_validation"",""capability_chain"":""C03"",""source_sha256"":""515737f78aca84a8f0ba828b53302deacdf7e3a45df4554f0781f699a97da649"",""fixture_variant"":""device_control""}",车载/语音助手交互,设备控制,C03,语音识别|语义理解|对话生成,"{""transcript"":""把阳台窗帘合上"",""translation"":""-"",""intent"":""设备控制"",""slots"":{""设备"":""窗帘"",""位置"":""阳台""},""expected_action"":""close"",""expected_reply"":""已合上阳台窗帘"",""translation_context"":""-"",""annotation_version"":""fixture-2.0""}",把阳台窗帘合上,"{""transcript"":""把阳台窗帘"",""translation"":""-"",""intent"":""设备控制"",""slots"":{""设备"":""窗帘"",""位置"":""阳台""},""action"":""close"",""reply"":""已合上阳台窗帘"",""model_version"":""deterministic-fixture-2.0"",""run_id"":""RUN-SYN-0035""}",把阳台窗帘,0.285714,失败,synthetic://SYN-0035.wav,515737f78aca84a8f0ba828b53302deacdf7e3a45df4554f0781f699a97da649,SYN-0035
SYN-0036,车载/语音助手交互,信息查询/多轮任务,inputs/SYN-0036.json,"{""type"":""synthetic_audio_fixture"",""path"":""inputs/SYN-0036.json"",""source_id"":""synthetic://SYN-0036.wav"",""data_classification"":""synthetic_engineering_validation"",""subscene_type"":""信息查询/多轮任务"",""fixture_variant"":""multi_turn_query"",""dialogue_turns"":[{""轮次"":1,""角色"":""用户"",""内容"":""我想了解成都的安排。""},{""轮次"":2,""角色"":""系统"",""内容"":""好的，请问你想查询什么？""},{""轮次"":3,""角色"":""用户"",""内容"":""请查询今天成都的航班信息""}]}","{""duration_ms"":2000,""sample_rate"":16000,""channels"":1,""format"":""wav"",""language"":""普通话"",""speaker_count"":1,""signal_conditions"":[""synthetic"",""clean""]}",普通话,"{""synthetic"":true,""data_classification"":""synthetic_engineering_validation"",""validation_scope"":""synthetic_engineering_validation"",""capability_chain"":""C03"",""source_sha256"":""db4d93220690c843bc91ab54f1b0488ebaf6bea57b7c2855ca60d9e2d0316794"",""fixture_variant"":""multi_turn_query""}",车载/语音助手交互,信息查询/多轮任务,C03,语音识别|语义理解|对话生成,"{""transcript"":""请查询今天成都的航班信息"",""translation"":""-"",""intent"":""信息查询"",""slots"":{""地点"":""成都"",""日期"":""今天""},""expected_action"":""query_flight"",""expected_reply"":""成都今天有两趟已保存航班"",""translation_context"":""-"",""annotation_version"":""fixture-2.0""}",请查询今天成都的航班信息,"{""transcript"":""请查"",""translation"":""-"",""intent"":""信息查询"",""slots"":{""地点"":""成都"",""日期"":""今天""},""action"":""query_flight"",""reply"":""成都今天有两趟已保存航班"",""model_version"":""deterministic-fixture-2.0"",""run_id"":""RUN-SYN-0036""}",请查,0.833333,失败,synthetic://SYN-0036.wav,db4d93220690c843bc91ab54f1b0488ebaf6bea57b7c2855ca60d9e2d0316794,SYN-0036
SYN-0037,短语音/录音转写,普通话口述,inputs/SYN-0037.json,"{""type"":""synthetic_audio_fixture"",""path"":""inputs/SYN-0037.json"",""source_id"":""synthetic://SYN-0037.wav"",""data_classification"":""synthetic_engineering_validation"",""subscene_type"":""普通话口述"",""fixture_variant"":""clean_mandarin"",""dialogue_turns"":""-""}","{""duration_ms"":1200,""sample_rate"":16000,""channels"":1,""format"":""wav"",""language"":""普通话"",""speaker_count"":1,""signal_conditions"":[""synthetic"",""clean""]}",普通话,"{""synthetic"":true,""data_classification"":""synthetic_engineering_validation"",""validation_scope"":""synthetic_engineering_validation"",""capability_chain"":""C01"",""source_sha256"":""246b6e6c6295959ea6cd63c43b9d21da864354501f969932daf48ab7f3df2e50"",""fixture_variant"":""clean_mandarin""}",短语音/录音转写,普通话口述,C01,语音识别,"{""transcript"":""把本周的销售数据整理成摘要"",""translation"":""-"",""intent"":""-"",""slots"":""-"",""expected_action"":""-"",""expected_reply"":""-"",""translation_context"":""-"",""annotation_version"":""fixture-2.0""}",把本周的销售数据整理成摘要,"{""transcript"":""把本周的销售数据整理成摘要"",""translation"":""-"",""intent"":""-"",""slots"":""-"",""action"":""-"",""reply"":""-"",""model_version"":""deterministic-fixture-2.0"",""run_id"":""RUN-SYN-0037""}",把本周的销售数据整理成摘要,0.000000,通过,synthetic://SYN-0037.wav,246b6e6c6295959ea6cd63c43b9d21da864354501f969932daf48ab7f3df2e50,SYN-0037
SYN-0038,短语音/录音转写,噪声/数字英文混合,inputs/SYN-0038.json,"{""type"":""synthetic_audio_fixture"",""path"":""inputs/SYN-0038.json"",""source_id"":""synthetic://SYN-0038.wav"",""data_classification"":""synthetic_engineering_validation"",""subscene_type"":""噪声/数字英文混合"",""fixture_variant"":""noise_mixed_alphanumeric"",""dialogue_turns"":""-""}","{""duration_ms"":1300,""sample_rate"":16000,""channels"":1,""format"":""wav"",""language"":""普通话"",""speaker_count"":1,""signal_conditions"":[""synthetic"",""noise"",""mixed_alphanumeric""]}",普通话,"{""synthetic"":true,""data_classification"":""synthetic_engineering_validation"",""validation_scope"":""synthetic_engineering_validation"",""capability_chain"":""C01"",""source_sha256"":""0da2c0e550786602f8c62e4e33a44e712f64e5ae06bc026d834d42f1c8f496d5"",""fixture_variant"":""noise_mixed_alphanumeric""}",短语音/录音转写,噪声/数字英文混合,C01,语音识别,"{""transcript"":""会议室 B203 的门禁密码是 5816"",""translation"":""-"",""intent"":""-"",""slots"":""-"",""expected_action"":""-"",""expected_reply"":""-"",""translation_context"":""-"",""annotation_version"":""fixture-2.0""}",会议室 B203 的门禁密码是 5816,"{""transcript"":""会议室 B203 的门禁密码是 581"",""translation"":""-"",""intent"":""-"",""slots"":""-"",""action"":""-"",""reply"":""-"",""model_version"":""deterministic-fixture-2.0"",""run_id"":""RUN-SYN-0038""}",会议室 B203 的门禁密码是 581,0.058824,通过,synthetic://SYN-0038.wav,0da2c0e550786602f8c62e4e33a44e712f64e5ae06bc026d834d42f1c8f496d5,SYN-0038
SYN-0039,会议/办公语音翻译,短句语翻,inputs/SYN-0039.json,"{""type"":""synthetic_audio_fixture"",""path"":""inputs/SYN-0039.json"",""source_id"":""synthetic://SYN-0039.wav"",""data_classification"":""synthetic_engineering_validation"",""subscene_type"":""短句语翻"",""fixture_variant"":""short_translation"",""dialogue_turns"":""-""}","{""duration_ms"":1400,""sample_rate"":16000,""channels"":1,""format"":""wav"",""language"":""普通话"",""speaker_count"":1,""signal_conditions"":[""synthetic"",""clean""]}",普通话,"{""synthetic"":true,""data_classification"":""synthetic_engineering_validation"",""validation_scope"":""synthetic_engineering_validation"",""capability_chain"":""C02"",""source_sha256"":""34efbe0c652336bba5cd2544dea8a74805eb72b74a8b43d7204676d32e8c6777"",""fixture_variant"":""short_translation""}",会议/办公语音翻译,短句语翻,C02,语音识别|机器翻译,"{""transcript"":""导出本周报告"",""translation"":""Export this week's report"",""intent"":""-"",""slots"":""-"",""expected_action"":""-"",""expected_reply"":""-"",""translation_context"":""-"",""annotation_version"":""fixture-2.0""}",导出本周报告,"{""transcript"":""导出本周"",""translation"":""Export this week's report"",""intent"":""-"",""slots"":""-"",""action"":""-"",""reply"":""-"",""model_version"":""deterministic-fixture-2.0"",""run_id"":""RUN-SYN-0039""}",导出本周,0.333333,失败,synthetic://SYN-0039.wav,34efbe0c652336bba5cd2544dea8a74805eb72b74a8b43d7204676d32e8c6777,SYN-0039
SYN-0040,会议/办公语音翻译,长句/上下文翻译,inputs/SYN-0040.json,"{""type"":""synthetic_audio_fixture"",""path"":""inputs/SYN-0040.json"",""source_id"":""synthetic://SYN-0040.wav"",""data_classification"":""synthetic_engineering_validation"",""subscene_type"":""长句/上下文翻译"",""fixture_variant"":""long_context_translation"",""dialogue_turns"":[{""轮次"":1,""角色"":""主持人"",""内容"":""上下文：版本发布流程""},{""轮次"":2,""角色"":""用户"",""内容"":""在发布新版本之前，先核对数据库迁移脚本和回滚步骤，再把检查结果同步给值班同事。""}]}","{""duration_ms"":1500,""sample_rate"":16000,""channels"":1,""format"":""wav"",""language"":""普通话"",""speaker_count"":1,""signal_conditions"":[""synthetic"",""clean""]}",普通话,"{""synthetic"":true,""data_classification"":""synthetic_engineering_validation"",""validation_scope"":""synthetic_engineering_validation"",""capability_chain"":""C02"",""source_sha256"":""cc190fab30d9374f360c9209dc3e0789135821b3161afdf6dd13b2bde827f560"",""fixture_variant"":""long_context_translation""}",会议/办公语音翻译,长句/上下文翻译,C02,语音识别|机器翻译,"{""transcript"":""在发布新版本之前，先核对数据库迁移脚本和回滚步骤，再把检查结果同步给值班同事。"",""translation"":""Before releasing the new version, check the database migration script and rollback steps, then share the check results with the colleague on duty."",""intent"":""-"",""slots"":""-"",""expected_action"":""-"",""expected_reply"":""-"",""translation_context"":""版本发布流程"",""annotation_version"":""fixture-2.0""}",在发布新版本之前，先核对数据库迁移脚本和回滚步骤，再把检查结果同步给值班同事。,"{""transcript"":""在发"",""translation"":""Before releasing the new version, check the database migration script and rollback steps, then share the check results with the colleague on duty."",""intent"":""-"",""slots"":""-"",""action"":""-"",""reply"":""-"",""model_version"":""deterministic-fixture-2.0"",""run_id"":""RUN-SYN-0040""}",在发,0.944444,失败,synthetic://SYN-0040.wav,cc190fab30d9374f360c9209dc3e0789135821b3161afdf6dd13b2bde827f560,SYN-0040
SYN-0041,车载/语音助手交互,设备控制,inputs/SYN-0041.json,"{""type"":""synthetic_audio_fixture"",""path"":""inputs/SYN-0041.json"",""source_id"":""synthetic://SYN-0041.wav"",""data_classification"":""synthetic_engineering_validation"",""subscene_type"":""设备控制"",""fixture_variant"":""device_control"",""dialogue_turns"":""-""}","{""duration_ms"":1600,""sample_rate"":16000,""channels"":1,""format"":""wav"",""language"":""普通话"",""speaker_count"":1,""signal_conditions"":[""synthetic"",""clean""]}",普通话,"{""synthetic"":true,""data_classification"":""synthetic_engineering_validation"",""validation_scope"":""synthetic_engineering_validation"",""capability_chain"":""C03"",""source_sha256"":""a87e6f292597e1dc4137f818de513fe236893e669e3d25bf4969851664c53d5a"",""fixture_variant"":""device_control""}",车载/语音助手交互,设备控制,C03,语音识别|语义理解|对话生成,"{""transcript"":""把办公室风扇调到二档"",""translation"":""-"",""intent"":""设备控制"",""slots"":{""设备"":""风扇"",""位置"":""办公室"",""档位"":2},""expected_action"":""set_speed"",""expected_reply"":""办公室风扇已调到二档"",""translation_context"":""-"",""annotation_version"":""fixture-2.0""}",把办公室风扇调到二档,"{""transcript"":""把办公室风扇调到二档"",""translation"":""-"",""intent"":""设备控制"",""slots"":{""设备"":""风扇"",""位置"":""办公室"",""档位"":2},""action"":""set_speed"",""reply"":""办公室风扇已调到二档"",""model_version"":""deterministic-fixture-2.0"",""run_id"":""RUN-SYN-0041""}",把办公室风扇调到二档,0.000000,通过,synthetic://SYN-0041.wav,a87e6f292597e1dc4137f818de513fe236893e669e3d25bf4969851664c53d5a,SYN-0041
SYN-0042,车载/语音助手交互,信息查询/多轮任务,inputs/SYN-0042.json,"{""type"":""synthetic_audio_fixture"",""path"":""inputs/SYN-0042.json"",""source_id"":""synthetic://SYN-0042.wav"",""data_classification"":""synthetic_engineering_validation"",""subscene_type"":""信息查询/多轮任务"",""fixture_variant"":""multi_turn_query"",""dialogue_turns"":[{""轮次"":1,""角色"":""用户"",""内容"":""我想了解南京的安排。""},{""轮次"":2,""角色"":""系统"",""内容"":""好的，请问你想查询什么？""},{""轮次"":3,""角色"":""用户"",""内容"":""请查询周末南京的活动信息""}]}","{""duration_ms"":1700,""sample_rate"":16000,""channels"":1,""format"":""wav"",""language"":""普通话"",""speaker_count"":1,""signal_conditions"":[""synthetic"",""clean""]}",普通话,"{""synthetic"":true,""data_classification"":""synthetic_engineering_validation"",""validation_scope"":""synthetic_engineering_validation"",""capability_chain"":""C03"",""source_sha256"":""766fdaa3b61dbe49d6ca63ad6b20861393dc7a52b3ac30e62d0f1d61b86b9271"",""fixture_variant"":""multi_turn_query""}",车载/语音助手交互,信息查询/多轮任务,C03,语音识别|语义理解|对话生成,"{""transcript"":""请查询周末南京的活动信息"",""translation"":""-"",""intent"":""信息查询"",""slots"":{""地点"":""南京"",""日期"":""周末""},""expected_action"":""query_events"",""expected_reply"":""南京周末有三场已收藏活动"",""translation_context"":""-"",""annotation_version"":""fixture-2.0""}",请查询周末南京的活动信息,"{""transcript"":""请查询周末南京的活动信"",""translation"":""-"",""intent"":""信息查询"",""slots"":{""地点"":""南京"",""日期"":""周末""},""action"":""query_events"",""reply"":""南京周末有三场已收藏活动"",""model_version"":""deterministic-fixture-2.0"",""run_id"":""RUN-SYN-0042""}",请查询周末南京的活动信,0.083333,通过,synthetic://SYN-0042.wav,766fdaa3b61dbe49d6ca63ad6b20861393dc7a52b3ac30e62d0f1d61b86b9271,SYN-0042
SYN-0043,短语音/录音转写,普通话口述,inputs/SYN-0043.json,"{""type"":""synthetic_audio_fixture"",""path"":""inputs/SYN-0043.json"",""source_id"":""synthetic://SYN-0043.wav"",""data_classification"":""synthetic_engineering_validation"",""subscene_type"":""普通话口述"",""fixture_variant"":""clean_mandarin"",""dialogue_turns"":""-""}","{""duration_ms"":1800,""sample_rate"":16000,""channels"":1,""format"":""wav"",""language"":""普通话"",""speaker_count"":1,""signal_conditions"":[""synthetic"",""clean""]}",普通话,"{""synthetic"":true,""data_classification"":""synthetic_engineering_validation"",""validation_scope"":""synthetic_engineering_validation"",""capability_chain"":""C01"",""source_sha256"":""465ddb9575ec71bc8a58e1937dde06d61d00e06e79dd1dbb222cc4630f0ce448"",""fixture_variant"":""clean_mandarin""}",短语音/录音转写,普通话口述,C01,语音识别,"{""transcript"":""提醒王芳下班前确认合同"",""translation"":""-"",""intent"":""-"",""slots"":""-"",""expected_action"":""-"",""expected_reply"":""-"",""translation_context"":""-"",""annotation_version"":""fixture-2.0""}",提醒王芳下班前确认合同,"{""transcript"":""提醒王芳下班前确认"",""translation"":""-"",""intent"":""-"",""slots"":""-"",""action"":""-"",""reply"":""-"",""model_version"":""deterministic-fixture-2.0"",""run_id"":""RUN-SYN-0043""}",提醒王芳下班前确认,0.181818,需关注,synthetic://SYN-0043.wav,465ddb9575ec71bc8a58e1937dde06d61d00e06e79dd1dbb222cc4630f0ce448,SYN-0043
SYN-0044,短语音/录音转写,噪声/数字英文混合,inputs/SYN-0044.json,"{""type"":""synthetic_audio_fixture"",""path"":""inputs/SYN-0044.json"",""source_id"":""synthetic://SYN-0044.wav"",""data_classification"":""synthetic_engineering_validation"",""subscene_type"":""噪声/数字英文混合"",""fixture_variant"":""noise_mixed_alphanumeric"",""dialogue_turns"":""-""}","{""duration_ms"":1900,""sample_rate"":16000,""channels"":1,""format"":""wav"",""language"":""普通话"",""speaker_count"":1,""signal_conditions"":[""synthetic"",""noise"",""mixed_alphanumeric""]}",普通话,"{""synthetic"":true,""data_classification"":""synthetic_engineering_validation"",""validation_scope"":""synthetic_engineering_validation"",""capability_chain"":""C01"",""source_sha256"":""6ae019e877e0b55f36f9e7b6c15d01a3b24cea460a7638b86763a3b1f3274b9e"",""fixture_variant"":""noise_mixed_alphanumeric""}",短语音/录音转写,噪声/数字英文混合,C01,语音识别,"{""transcript"":""请在 18:30 播放 English 新闻"",""translation"":""-"",""intent"":""-"",""slots"":""-"",""expected_action"":""-"",""expected_reply"":""-"",""translation_context"":""-"",""annotation_version"":""fixture-2.0""}",请在 18:30 播放 English 新闻,"{""transcript"":""请在"",""translation"":""-"",""intent"":""-"",""slots"":""-"",""action"":""-"",""reply"":""-"",""model_version"":""deterministic-fixture-2.0"",""run_id"":""RUN-SYN-0044""}",请在,0.882353,失败,synthetic://SYN-0044.wav,6ae019e877e0b55f36f9e7b6c15d01a3b24cea460a7638b86763a3b1f3274b9e,SYN-0044
SYN-0045,会议/办公语音翻译,短句语翻,inputs/SYN-0045.json,"{""type"":""synthetic_audio_fixture"",""path"":""inputs/SYN-0045.json"",""source_id"":""synthetic://SYN-0045.wav"",""data_classification"":""synthetic_engineering_validation"",""subscene_type"":""短句语翻"",""fixture_variant"":""short_translation"",""dialogue_turns"":""-""}","{""duration_ms"":2000,""sample_rate"":16000,""channels"":1,""format"":""wav"",""language"":""普通话"",""speaker_count"":1,""signal_conditions"":[""synthetic"",""clean""]}",普通话,"{""synthetic"":true,""data_classification"":""synthetic_engineering_validation"",""validation_scope"":""synthetic_engineering_validation"",""capability_chain"":""C02"",""source_sha256"":""133dd24a9ec5d9c1e6ba3e54a658bb1664e41bd9cd9d3ea04600b2388d3f0f74"",""fixture_variant"":""short_translation""}",会议/办公语音翻译,短句语翻,C02,语音识别|机器翻译,"{""transcript"":""请关闭麦克风"",""translation"":""Please turn off the microphone"",""intent"":""-"",""slots"":""-"",""expected_action"":""-"",""expected_reply"":""-"",""translation_context"":""-"",""annotation_version"":""fixture-2.0""}",请关闭麦克风,"{""transcript"":""请关闭麦克风"",""translation"":""Please turn off the microphone"",""intent"":""-"",""slots"":""-"",""action"":""-"",""reply"":""-"",""model_version"":""deterministic-fixture-2.0"",""run_id"":""RUN-SYN-0045""}",请关闭麦克风,0.000000,通过,synthetic://SYN-0045.wav,133dd24a9ec5d9c1e6ba3e54a658bb1664e41bd9cd9d3ea04600b2388d3f0f74,SYN-0045
